"","Yr","F_std","HL_E","HL_W","LL_E","LL_W","MRIP_E","MRIP_W","HBT_E","HBT_W","C_Clsd_E","C_Clsd_W","R_Clsd_E","R_Clsd_W","Shr_E","Shr_W"
"8738",1872,0.000303809,0.0128228,0,0,0,0,0,0,0,0,0,0,0,0,0
"8739",1873,0.00045584,0.0194269,0,0,0,0,0,0,0,0,0,0,0,0,0
"8740",1874,0.000684638,0.0295657,0,0,0,0,0,0,0,0,0,0,0,0,0
"8741",1875,0.000839026,0.0368048,0,0,0,0,0,0,0,0,0,0,0,0,0
"8742",1876,0.000995399,0.0443874,0,0,0,0,0,0,0,0,0,0,0,0,0
"8743",1877,0.000846709,0.0382178,0,0,0,0,0,0,0,0,0,0,0,0,0
"8744",1878,0.000773783,0.0351137,0.0232413,0,0,0,0,0,0,0,0,0,0,0,0
"8745",1879,0.00085471,0.0389118,0.0211865,0,0,0,0,0,0,0,0,0,0,0,0
"8746",1880,0.00170277,0.0500029,0.00992698,0,0,0,0,0,0,0,0,0,0,0,0
"8747",1881,0.0017833,0.0570356,0.00898109,0,0,0,0,0,0,0,0,0,0,0,0
"8748",1882,0.00186654,0.0645162,0.00800488,0,0,0,0,0,0,0,0,0,0,0,0
"8749",1883,0.00195997,0.0724031,0.00715208,0,0,0,0,0,0,0,0,0,0,0,0
"8750",1884,0.00205606,0.0807718,0.0062857,0,0,0,0,0,0,0,0,0,0,0,0
"8751",1885,0.00215428,0.0896452,0.00539957,0,0,0,0,0,0,0,0,0,0,0,0
"8752",1886,0.00225745,0.0991265,0.00452043,0,0,0,0,0,0,0,0,0,0,0,0
"8753",1887,0.0022801,0.10916,0.00229786,0,0,0,0,0,0,0,0,0,0,0,0
"8754",1888,0.00221472,0.10723,0.00239362,0,0,0,0,0,0,0,0,0,0,0,0
"8755",1889,0.0024042,0.116638,0.00302481,0,0,0,0,0,0,0,0,0,0,0,0
"8756",1890,0.00285928,0.144641,0.00272213,0,0,0,0,0,0,0,0,0,0,0,0
"8757",1891,0.00266758,0.136182,0.0030245,0,0,0,0,0,0,0,0,0,0,0,0
"8758",1892,0.00283553,0.146897,0.00329021,0,0,0,0,0,0,0,0,0,0,0,0
"8759",1893,0.00295948,0.155764,0.00350207,0,0,0,0,0,0,0,0,0,0,0,0
"8760",1894,0.00306451,0.164074,0.00364886,0,0,0,0,0,0,0,0,0,0,0,0
"8761",1895,0.00303556,0.164481,0.003751,0,0,0,0,0,0,0,0,0,0,0,0
"8762",1896,0.00310239,0.170232,0.00383179,0,0,0,0,0,0,0,0,0,0,0,0
"8763",1897,0.00311442,0.17291,0.00383012,0,0,0,0,0,0,0,0,0,0,0,0
"8764",1898,0.00362061,0.198066,0.00612949,0,0,0,0,0,0,0,0,0,0,0,0
"8765",1899,0.00417318,0.230358,0.0081478,0,0,0,0,0,0,0,0,0,0,0,0
"8766",1900,0.00473243,0.269148,0.0100637,0,0,0,0,0,0,0,0,0,0,0,0
"8767",1901,0.0051695,0.307695,0.0115791,0,0,0,0,0,0,0,0,0,0,0,0
"8768",1902,0.00555391,0.34935,0.0128287,0,0,0,0,0,0,0,0,0,0,0,0
"8769",1903,0.00522072,0.344828,0.0121187,0,0,0,0,0,0,0,0,0,0,0,0
"8770",1904,0.00497737,0.338004,0.0115994,0,0,0,0,0,0,0,0,0,0,0,0
"8771",1905,0.00460498,0.314882,0.010805,0,0,0,0,0,0,0,0,0,0,0,0
"8772",1906,0.00419771,0.283059,0.00997095,0,0,0,0,0,0,0,0,0,0,0,0
"8773",1907,0.00375896,0.245479,0.00909669,0,0,0,0,0,0,0,0,0,0,0,0
"8774",1908,0.00340001,0.212303,0.00845041,0,0,0,0,0,0,0,0,0,0,0,0
"8775",1909,0.00290868,0.172852,0.00726284,0,0,0,0,0,0,0,0,0,0,0,0
"8776",1910,0.00242929,0.136072,0.00616691,0,0,0,0,0,0,0,0,0,0,0,0
"8777",1911,0.00240114,0.127998,0.00603845,0,0,0,0,0,0,0,0,0,0,0,0
"8778",1912,0.00237201,0.121839,0.00592304,0,0,0,0,0,0,0,0,0,0,0,0
"8779",1913,0.0023475,0.117467,0.00581283,0,0,0,0,0,0,0,0,0,0,0,0
"8780",1914,0.00232834,0.114514,0.0057017,0,0,0,0,0,0,0,0,0,0,0,0
"8781",1915,0.00231498,0.112642,0.00559208,0,0,0,0,0,0,0,0,0,0,0,0
"8782",1916,0.00230466,0.111486,0.00547173,0,0,0,0,0,0,0,0,0,0,0,0
"8783",1917,0.00224242,0.107523,0.00536292,0,0,0,0,0,0,0,0,0,0,0,0
"8784",1918,0.00223593,0.106839,0.00525382,0,0,0,0,0,0,0,0,0,0,0,0
"8785",1919,0.00240829,0.115768,0.00539471,0,0,0,0,0,0,0,0,0,0,0,0
"8786",1920,0.00259006,0.126029,0.0055363,0,0,0,0,0,0,0,0,0,0,0,0.00252525
"8787",1921,0.00278432,0.137868,0.00569315,0,0,0,0,0,0,0,0,0,0,0,0.012939
"8788",1922,0.00299116,0.151507,0.00583755,0,0,0,0,0,0,0,0,0,0,0,0.0340355
"8789",1923,0.00320803,0.166876,0.00598343,0,0,0,0,0,0,0,0,0,0,0,0.0550244
"8790",1924,0.0031508,0.167329,0.00578758,0,0,0,0,0,0,0,0,0,0,0,0.0637573
"8791",1925,0.00316467,0.17124,0.00559103,0,0,0,0,0,0,0,0,0,0,0,0.0670584
"8792",1926,0.00309812,0.169487,0.00539104,0,0,0,0,0,0,0,0,0,0,0.00573587,0.0791559
"8793",1927,0.00345582,0.188221,0.00676737,0,0,0,0,0,0,0,0,0,0,0.00988306,0.0772038
"8794",1928,0.00303502,0.170353,0.00493877,0,0,0,0,0,0,0,0,0,0,0.0116802,0.101901
"8795",1929,0.00321348,0.182431,0.00483135,0,0,0,0,0,0,0,0,0,0,0.0129013,0.0840459
"8796",1930,0.00219145,0.109854,0.00642385,0,0,0,0,0,0,0,0,0,0,0.0165417,0.109721
"8797",1931,0.00204562,0.106242,0.00398437,0,0,0,0,0,0,0,0,0,0,0.019537,0.13762
"8798",1932,0.00221467,0.110031,0.00478679,0,0,0,0,0,0,0,0,0,0,0.0247442,0.212511
"8799",1933,0.00204589,0.0963957,0.00521954,0,0,0,0,0,0,0,0,0,0,0.0270943,0.227092
"8800",1934,0.00187624,0.0839963,0.00543163,0,0,0,0,0,0,0,0,0,0,0.0286612,0.232513
"8801",1935,0.0023686,0.100873,0.00791713,0,0,0,0,0,0,0,0,0,0,0.0311036,0.185427
"8802",1936,0.00279156,0.115837,0.0102691,0,0,0,0,0,0.0660792,0,0,0,0,0.0305299,0.180344
"8803",1937,0.00260919,0.103084,0.0112223,0,0,0,0,0,0.0705678,0,0,0,0,0.0221459,0.209236
"8804",1938,0.00316691,0.134932,0.0111578,0,0,0,0,0.0425689,0.0763116,0,0,0,0,0.0211405,0.190814
"8805",1939,0.00355468,0.163547,0.0102514,0,0,0,0,0.0442224,0.0808525,0,0,0,0,0.0237237,0.218727
"8806",1940,0.00258991,0.111861,0.00983614,0,0,0,0.0350787,0.0460803,0.0849022,0,0,0,0,0.0281646,0.229281
"8807",1941,0.00237198,0.101211,0.00893441,0,0,0,0.0512258,0.0478012,0.0884991,0,0,0,0,0.030551,0.288805
"8808",1942,0.00187295,0.0794145,0.00661643,0,0,0.0333534,0.0701681,0.0492453,0.093385,0,0,0,0,0.0286153,0.250703
"8809",1943,0.00144375,0.0611056,0.00452246,0,0,0.0441734,0.0896713,0.0508658,0.0968877,0,0,0,0,0.0271587,0.335252
"8810",1944,0.00154661,0.0682674,0.00341341,0,0,0.0559332,0.110112,0.0530595,0.10345,0,0,0,0,0.0319979,0.302905
"8811",1945,0.00127292,0.0579716,0.00188051,0,0,0.0683242,0.131333,0.0551241,0.112619,0,0,0,0,0.0312078,0.316556
"8812",1946,0.00208336,0.0915492,0.00397119,0,0,0.0809823,0.155816,0.0586411,0.126073,0,0,0,0,0.0307532,0.337865
"8813",1947,0.00229826,0.097178,0.00590853,0,0,0.0944702,0.174431,0.0626927,0.139641,0,0,0,0,0.0264964,0.270775
"8814",1948,0.00254103,0.106051,0.00741707,0,0,0.109631,0.199936,0.0667418,0.151146,0,0,0,0,0.028538,0.271925
"8815",1949,0.00318959,0.130911,0.0109447,0,0,0.121894,0.232278,0.0705218,0.153641,0,0,0,0,0.0315236,0.255821
"8816",1950,0.0718419,0.0736573,0.0189497,0,0,0.03554,0.0184337,0.044417,0.0348909,0,0,0,0,0.00574523,0.259262
"8817",1951,0.0780934,0.0908786,0.0196686,0,0,0.0471055,0.0267113,0.0462934,0.0367423,0,0,0,0,0.00989804,0.272876
"8818",1952,0.091478,0.106351,0.0230614,0,0,0.0590559,0.03873,0.0477525,0.0416062,0,0,0,0,0.011698,0.322704
"8819",1953,0.0910114,0.101586,0.0201315,0,0,0.0716922,0.0513297,0.0491167,0.0456335,0,0,0,0,0.0129203,0.314801
"8820",1954,0.115429,0.0995254,0.0217805,0,0,0.0846929,0.0649036,0.0503591,0.0494903,0,0,0,0,0.0165654,0.416873
"8821",1955,0.101751,0.117485,0.0257629,0,0,0.0987202,0.0788389,0.0520014,0.0526537,0,0,0,0,0.0195638,0.343212
"8822",1956,0.127956,0.149945,0.0378369,0,0,0.114478,0.0964927,0.0541468,0.0573099,0,0,0,0,0.0247774,0.449569
"8823",1957,0.155028,0.144187,0.0411245,0,0,0.127868,0.108498,0.0565222,0.0597329,0,0,0,0,0.0271292,0.565459
"8824",1958,0.218699,0.261324,0.074822,0,0,0.144138,0.128215,0.0599974,0.065419,0,0,0,0,0.0286968,0.877105
"8825",1959,0.235844,0.271346,0.0839692,0,0,0.160844,0.15792,0.0634883,0.0747773,0,0,0,0,0.03114,0.938259
"8826",1960,0.24496,0.346536,0.0981714,0,0,0.17702,0.210691,0.0661555,0.0932026,0,0,0,0,0.0305663,0.961898
"8827",1961,0.213421,0.362573,0.132953,0,0,0.185931,0.254136,0.0689571,0.112027,0,0,0,0,0.0221762,0.766125
"8828",1962,0.210244,0.422375,0.150697,0,0,0.196204,0.286326,0.0721787,0.127332,0,0,0,0,0.0211708,0.745374
"8829",1963,0.23422,0.391845,0.154847,0,0,0.205647,0.283289,0.075173,0.126171,0,0,0,0,0.0237562,0.866844
"8830",1964,0.225113,0.525397,0.17039,0,0,0.217381,0.29285,0.0792801,0.128193,0,0,0,0,0.0281983,0.790143
"8831",1965,0.249238,0.629301,0.19218,0,0,0.233468,0.325686,0.0850081,0.140062,0,0,0,0,0.0305897,0.90871
"8832",1966,0.259931,0.609937,0.176517,0,0,0.250745,0.350074,0.0898623,0.144637,0,0,0,0,0.0286504,0.9562
"8833",1967,0.305129,0.64927,0.272898,0,0,0.264816,0.41505,0.0931095,0.164931,0,0,0,0,0.027197,1.21487
"8834",1968,0.287772,0.65631,0.385885,0,0,0.278552,0.520782,0.0962731,0.200032,0,0,0,0,0.0320377,1.06064
"8835",1969,0.344177,0.680078,0.375683,0,0,0.295236,0.72846,0.0994649,0.275138,0,0,0,0,0.0312466,1.44469
"8836",1970,0.335299,0.724322,0.516522,0,5.24e-05,0.323652,0.915483,0.10747,0.338207,0,0,0,0,0.0307918,1.31696
"8837",1971,0.34931,0.808666,0.77255,0,0,0.369071,1.77402,0.11723,0.6231,0,0,0,0,0.0265336,1.33647
"8838",1972,0.316857,1.07372,0.923513,0,0,0.427914,2.57938,0.134543,0.879696,0,0,0,0,0.0285118,1.04252
"8839",1973,0.282579,1.39414,1.10083,0,0,0.209854,1.37238,0.0840608,0.521543,0,0.0433986,0,0,0.031565,0.973842
"8840",1974,0.275033,1.03005,0.935738,0,0.00324784,0.118529,0.320952,0.0321439,0.0872338,0,0.0607209,0,0,0.0305033,1.07448
"8841",1975,0.302871,0.743646,0.634205,0,0.0041294,0.182187,0.392928,0.0429849,0.093902,0.108505,0.0385691,0,0.000585015,0.0304303,0.99019
"8842",1976,0.323141,0.688376,0.54424,0.0466157,3.14665e-05,0.249474,0.780417,0.0608515,0.18516,0.290771,0.0209657,0,0.00326823,0.0282215,1.13903
"8843",1977,0.293154,0.518949,0.623389,0.106569,0.00989678,0.272088,0.86893,0.0688794,0.217551,0.218735,0.0176993,0.0231045,0.00824168,0.0336791,0.983866
"8844",1978,0.32047,0.467135,0.771616,0.185337,0.0830162,0.261181,0.98227,0.0639933,0.256784,0.315173,0.0164456,0.0418624,0.0239221,0.0258693,1.14866
"8845",1979,0.35792,0.46737,0.900252,0.481018,0.0689996,0.280347,0.97179,0.0637336,0.254686,0.358493,0.0220603,0.0504436,0.00876752,0.0266486,1.08588
"8846",1980,0.276969,0.491511,1.20471,0.0449568,0.00248278,0.372334,1.48291,0.0823078,0.417146,0.378384,0.0274232,0.120423,0.00828588,0.0163046,0.676883
"8847",1981,0.283193,0.724305,1.58589,0.101632,0.00342668,0.46231,0.799238,0.0321143,0.191305,0.128642,0.0323993,0.178055,0.0234159,0.0256166,0.959864
"8848",1982,0.289532,0.977812,1.18853,0.180185,0.00591269,0.282837,0.195443,0.0758846,0.0599116,0.123194,0.0332847,0.150753,0.137105,0.0256364,1.08458
"8849",1983,0.276381,0.902444,0.721875,0.494798,0.00937303,0.227427,0.445467,0.103298,0.0722525,0.403963,0.0228314,0.0906729,0.103765,0.0279553,0.896777
"8850",1984,0.330845,0.434486,0.489027,0.40421,0.0832907,0.04455,0.209356,0.0121524,0.0953595,0.228258,0.044811,0.0628954,0.0479793,0.0329027,1.14312
"8851",1985,0.344188,0.340422,0.316061,0.0745148,0.0741021,0.23632,0.418937,0.0472307,0.196917,0.141879,0.0180543,0.0789682,0.0358294,0.0318133,0.946723
"8852",1986,0.365976,0.167499,0.358521,0.0302216,0.113901,0.506671,0.364383,0.0132559,0.227138,0.0699244,0.0176859,0.0556007,0.0761188,0.0328043,1.19207
"8853",1987,0.320131,0.1859,0.299538,0.0216252,0.109545,0.785064,0.130357,0.0135157,0.201467,0.128747,0.0131816,0.0430205,0.0753535,0.0266346,1.017
"8854",1988,0.314359,0.273674,0.468888,0.032939,0.107274,0.785388,0.234735,0.0207334,0.249883,0.067304,0.00642133,0.11919,0.00240283,0.0250633,0.985246
"8855",1989,0.306614,0.306676,0.402219,0.0538292,0.0816384,0.943062,0.203515,0.0196523,0.254337,0.0560621,0.018833,0.0866432,0.0484173,0.0306689,0.898229
"8856",1990,0.305146,0.433381,0.377362,0.0760386,0.0222358,0.552253,0.111995,0.02739,0.122107,0.0322891,2.56e-08,0.0907225,0.0807136,0.0266706,1.09347
"8857",1991,0.344157,0.197351,0.309944,0.0248046,0.0133927,0.504507,0.127613,0.0142748,0.102283,0.12722,0.0634377,0.195053,0.0238169,0.0275394,1.1608
"8858",1992,0.272249,0.140927,0.356664,0.00597772,0.00347621,0.636107,0.154047,0.0231414,0.146705,0.321322,0.0855693,0.137697,0.0256485,0.03329,0.878923
"8859",1993,0.276606,0.133556,0.352231,0.0132254,0.00337205,0.902321,0.194722,0.024383,0.158094,0.24857,0.049797,0.191462,0,0.0274774,0.849978
"8860",1994,0.304218,0.177302,0.307751,0.00665032,0.00244659,0.820172,0.17878,0.0269703,0.210207,0.367948,0.0353985,0.21117,0,0.0280852,0.966435
"8861",1995,0.335738,0.0658104,0.300291,0.00703922,0.00252111,0.900404,0.275638,0.0289203,0.179813,0.376109,0.026971,0,0,0.0334319,1.18848
"8862",1996,0.293321,0.0802539,0.401615,0.00619021,0.00355388,0.718775,0.156632,0.0308282,0.163502,0.424815,0.0244676,0,0,0.037656,1.15651
"8863",1997,0.375919,0.0557506,0.439225,0.00335493,0.00378898,0.945672,0.163927,0.0453991,0.162091,0.143183,0.0312052,0.0233397,0.000641749,0.040045,1.44501
"8864",1998,0.364912,0.0803594,0.418059,0.00319187,0.00315896,0.539423,0.127911,0.0482516,0.121482,0.140308,0.0375661,0.0415695,0.00359108,0.0500811,1.36531
"8865",1999,0.364663,0.0927643,0.448554,0.00265973,0.010092,0.505023,0.124828,0.0411214,0.057435,0.312592,0.0452555,0.0479472,0.00910725,0.0307352,1.43464
"8866",2000,0.387851,0.115899,0.446421,0.00314946,0.0195398,0.692441,0.191927,0.0885726,0.0916227,0.583331,0.0596785,0.120072,0.0260919,0.0263322,1.61015
"8867",2001,0.321954,0.159551,0.434552,0.00406978,0.0131038,0.94077,0.133477,0.0861346,0.101356,0.155107,0.0307261,0.186228,0.00990452,0.029581,1.36658
"8868",2002,0.342369,0.19847,0.41535,0.00816713,0.0152509,0.994888,0.115043,0.0975663,0.111254,0.0852618,0.0520263,0.159311,0.00946608,0.035671,1.37822
"8869",2003,0.283229,0.181908,0.379335,0.0061837,0.017675,0.810631,0.137575,0.0932006,0.129426,0.153141,0.0229686,0.0940019,0.0262739,0.0295802,1.01792
"8870",2004,0.224956,0.171633,0.381658,0.00801575,0.0469735,1.0535,0.167595,0.091667,0.099703,0.0826192,0.0238732,0.0656882,0.129024,0.0293138,0.815104
"8871",2005,0.19097,0.136996,0.371089,0.00804037,0.0290543,0.658463,0.165366,0.059338,0.084056,0.0660218,0.0175714,0.0831177,0.0912556,0.02431,0.791201
"8872",2006,0.218795,0.0965343,0.401863,0.00483722,0.0258965,0.461514,0.163807,0.045675,0.0781662,0.0385939,0.00918983,0.057918,0.046809,0.0160693,0.969158
"8873",2007,0.151497,0.126246,0.194836,0.00418001,0.0248924,0.503375,0.17376,0.0457832,0.0537578,0.148673,0.0255623,0.0445197,0.0380964,0.0120835,0.673978
"8874",2008,0.0984591,0.0857822,0.125311,0.00621582,0.00677075,0.195976,0.0466264,0.0380705,0.0261796,0.0764582,0.736293,0.127854,0.0899265,0.0078468,0.414841
"8875",2009,0.186246,0.0741029,0.100674,0.00178292,0.00557754,0.170815,0.0606236,0.0382381,0.029586,0.250895,0.000224335,0.0914674,0.0906535,0.0121736,0.596772
"8876",2010,0.13992,0.0874635,0.0979984,0.00638605,0.00326753,0.0636271,0.0111601,0.0149953,0.01549,0.00766615,0.000825169,0.093784,0.00251718,0.00757207,0.498233
"8877",2011,0.172749,0.086754,0.0804446,0.00513187,0.00119994,0.167926,0.0238328,0.0252563,0.0149851,0.0257918,0.000227543,0.209598,0.0703136,0.00945513,0.693243
"8878",2012,0.171261,0.0965326,0.0901025,0.00280871,0.000752785,0.137971,0.0638447,0.0203238,0.0173477,0.0231157,0.914972,0.141868,0.123812,0.00931148,0.527986
"8879",2013,0.156208,0.121746,0.125058,0.00581419,0.00267977,0.234499,0.033402,0.0180914,0.0146909,0.000649003,0.00155522,0.185984,0.0389426,0.0108336,0.540685
"8880",2014,0.160706,0.116842,0.112944,0.00637407,0.00257285,0.0802767,0.0222135,0.0167184,0.00885704,0.0107892,0.00624277,0.19164,0.0379972,0.00808853,0.572289
"8881",2015,0.181948,0.153209,0.118168,0.0130228,0.00195859,0.119786,0.0349616,0.0169459,0.0135016,0.00810276,0.063193,0.175035,0.0325324,0.00670865,0.555564
"8882",2016,0.17729,0.137431,0.0991427,0.00929317,0.00180916,0.174447,0.0258593,0.0153648,0.0113776,0.00263605,0.000687832,0.334731,0.0471785,0.00702638,0.66656
